,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL,Employer est.,Per hour,Min Salary,Max Salary,Avg Salary,State,Companys Age,MachineLearning,python,power bi,big data,sql,Refined Title,Seniority
405,"Data Analyst, Health & Customer Insights",$72K - $93K (Employer est.),"Research and analysis – gather, clean, and normalize data from disparate sources into workable data models using various tools. Expertise in SQL is required.…
Skills: Jira, Power BI, Microsoft Excel, Data analysis skills, Microsoft Office",3.5,Albertsons Companies,"Boise, ID",10000+ Employees,1939,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-analyst-health-customer-insights-albertsons-companies-JV_IC1127927_KO0,37_KE38,58.htm?jl=1009341201007",1,0,72,93,82.5,ID,85,0,0,1,0,1,data analyst,not applicable
406,Data Scientist - TikTok Live Streaming & RTC Products,$130K - $240K (Employer est.),"Perform data analysis based on business requirements, support data analysis for special projects, and provide ongoing data analysis support.…
Skills: Data mining, R, Data analysis skills, SQL, Attribution modeling",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-tiktok-live-streaming-rtc-products-tiktok-JV_IC1147436_KO0,49_KE50,56.htm?jl=1009347536139",1,0,130,240,185,CA,8,0,0,0,0,1,data scientist,not applicable
407,Senior Marketing Strategy & Analytics Manager,$120K - $210K (Employer est.),"Strong communication and stakeholder management, with both technical and non-technical audiences. Bachelors in Math, Data Science, Stats, Business, or related……
Skills: Sales, Tableau, SQL, Attribution modeling, GitHub",4.1,Rippling,"New York, NY",1001 to 5000 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/senior-marketing-strategy-analytics-manager-rippling-JV_IC1132348_KO0,43_KE44,52.htm?jl=1009358338617",1,0,120,210,165,NY,8,0,0,0,0,1,data analyst,senior
408,Applied Machine Learning Research Scientist,$190K - $250K (Employer est.),"Perform hands-on analysis and modeling of enormous data sets to develop insights. We're seeking an Applied Machine Learning Research Scientist to collaborate……
Skills: Spark, Research, Databases, Machine learning, AI",-1,Coactive AI,"San Jose, CA",1 to 50 Employees,2021,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/applied-machine-learning-research-scientist-coactive-ai-JV_IC1147436_KO0,43_KE44,55.htm?jl=1009224256170",1,0,190,250,220,CA,3,1,0,0,0,0,machine learning,not applicable
409,Analytics Leader,$163K - $300K (Employer est.),"You have a BS/MS or equivalent experience in Computer Science or a related technical field. You have 5+ years leading data science/analytics engineering teams……
Skills: Computer science, Big data, Spark, Google Cloud Platform, Java",4.1,Workday,"Pleasanton, CA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/analytics-leader-workday-JV_IC1147390_KO0,16_KE17,24.htm?jl=1009314684814",1,0,163,300,231.5,CA,19,0,0,0,1,0,data analyst,head
410,Sr Machine Learning Engineer,$185K - $206K (Employer est.),"Bachelor's degree or equivalent in Computer Science, Engineering, Mathematics or related field, with 4+ years of full-time engineering experience or PhD with 2+……
Skills: TensorFlow, Go, Spark, Apache Hive, Java",3.9,Uber,"Seattle, WA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-machine-learning-engineer-uber-JV_IC1150505_KO0,28_KE29,33.htm?jl=1009377706691",1,0,185,206,195.5,WA,15,0,0,0,0,0,data engineer,senior
411,"Sr. Applied Scientist, Generative AI Innovation Center",$150K - $260K (Employer est.),"PhD degree in computer science, engineering, mathematics, operations research, or in a highly quantitative field.…
Skills: TensorFlow, Computer science, Data mining, Data structures, Java",3.7,"Amazon Web Services, Inc.","Bellevue, WA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-applied-scientist-generative-ai-innovation-center-amazon-web-services-inc-JV_IC1150442_KO0,52_KE53,76.htm?jl=1009287703560",1,0,150,260,205,WA,18,0,0,0,0,0,artifical intelligence,senior
412,"Applied Scientist II, Amazon",$136K - $222K (Employer est.),"You will guide the design, modeling, and architectural choices of state-of-the-art large language models and multimodal models.…
Skills: Data mining, Data structures, Java, C++, Distributed systems",3.7,"Amazon Web Services, Inc.","Palo Alto, CA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/applied-scientist-ii-amazon-amazon-web-services-inc-JV_IC1147434_KO0,27_KE28,51.htm?jl=1009359370666",1,0,136,222,179,CA,18,0,0,0,0,0,applied scientist,not applicable
413,"Senior Manager, Machine Learning Science",$173K - $243K (Employer est.),"You will also contribute to an area of active research: causal inference using machine learning methods, stochastic optimization, ML-based demand estimation,……
Skills: Pricing, Management, Big data, Spark, R",3.8,Expedia Partner Solutions,"Austin, TX",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/senior-manager-machine-learning-science-expedia-partner-solutions-JV_IC1139761_KO0,39_KE40,65.htm?jl=1009377282170",1,0,173,243,208,TX,28,1,0,0,1,0,data scientist,senior
414,Data Scientist - TikTok Live,$144K - $240K (Employer est.),"Research data science theories and methodology, improve analysis efficiency and data product tools. The primary role of a Data Scientist is to conduct deep……
Skills: Agency management, R, Data analysis skills, SQL, Analysis skills",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-tiktok-live-tiktok-JV_IC1147436_KO0,26_KE27,33.htm?jl=1009361506329",1,0,144,240,192,CA,8,0,0,0,0,1,data scientist,not applicable
415,"Manager, Marketing Analytics",$143K - $191K (Employer est.),"Our team excels in exploratory data analysis, media measurement and strategy, and campaign-level reporting, all aimed at driving business decisions and……
Skills: R, Marketing mix modeling, Tableau, SQL, Analysis skills",3.8,Disney,"Santa Monica, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-marketing-analytics-disney-JV_IC1146873_KO0,27_KE28,34.htm?jl=1009324044330",1,0,143,191,167,CA,101,0,0,0,0,1,data analyst,manager
416,"Senior Staff Software Engineer, Data and Analytics",$185K - $255K (Employer est.),"The Analytics team will work closely with Data Science to leverage models for optimization, as well as develop their own models, the Data Platform team to shape……
Skills: Go, C#, Microsoft SQL Server, Java, SQL",3,Outreach,"Seattle, WA",1001 to 5000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-staff-software-engineer-data-and-analytics-outreach-JV_IC1150505_KO0,49_KE50,58.htm?jl=1009229085371",1,0,185,255,220,WA,10,0,0,0,0,1,data engineer,senior
417,Staff Data Scientist,$190K - $238K (Glassdoor est.),"Leads technical work of a scrum team: initiating and designing model solutions, driving end-to-end architecture designs of the team’s work, and holding the team……
Skills: Data mining, R, Git, Apache Hive, Java",4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/staff-data-scientist-intuit-JV_IC1147431_KO0,20_KE21,27.htm?jl=1009372419444",0,0,190,238,214,CA,41,0,0,0,0,0,data scientist,staff
418,Sr Data & Analytics Consultant,$95K - $182K (Employer est.),"Knowledge of data science and AI techniques and tools and the data science product development life cycle; Experience consulting or working on data science or……
Skills: DevOps, Project management, Product development, Natural language processing, Financial services",3.9,Principal Financial Group,"Des Moines, IA",10000+ Employees,1879,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-analytics-consultant-principal-financial-group-JV_IC1149246_KO0,28_KE29,54.htm?jl=1009373587954",1,0,95,182,138.5,IA,145,0,0,0,0,0,data analyst,senior
419,"Lead AI/ML Engineer, Algorithms & Research",$186K - $279K (Employer est.),"Design and develop retrieval augmentation methods for structured, unstructured, and relational databases. As a Lead Machine Learning Engineer/Scientist, you……
Skills: Ontology, Relational databases, Databases, Machine learning, AI",3.7,Upwork,"Cambridge, MA",501 to 1000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/lead-ai-ml-engineer-algorithms-research-upwork-JV_IC1154545_KO0,39_KE40,46.htm?jl=1009336358263",1,0,186,279,232.5,MA,10,1,0,0,0,0,data engineer,head
420,Senior Machine Learning Scientist (Discovery),$134K - $200K (Employer est.),"Passion for driving impact in the field of online education through innovative ML and search science techniques.…
Skills: TensorFlow, Git, Machine learning, Deep learning, Natural language processing",3.6,Coursera,United States,501 to 1000 Employees,2012,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-machine-learning-scientist-discovery-coursera-JV_KO0,43_KE44,52.htm?jl=1009338831937",1,0,134,200,167,US,12,1,0,0,0,0,machine learning,senior
